,Community,Facility Name,Colour Posting,Last Inspection Date,Site Address,url,category,Risk Rating,Type,Offense,Outcome,Offense Date,Comment,Resolved Date
2,Sarnia (Central),SMAA Football,,2022-10-07,"300 Exmouth St  Sarnia, N7t 5M9 ON N7T 5M9",location.href = '/Facility/Details/cb232874-13e4-43dc-ab12-2d505bae8fc5' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),Smith Funeral Home Family Centre,,2023-10-25,1576 London Line  Sarnia ON N7T 7H2,location.href = '/Facility/Details/4556f5f8-4875-4c4f-947b-08fbb175d909' ,DineSafe Lambton,,,,,,,
4,Sarnia (South),Snack & Run,,2023-06-29,203 Indian Rd S  Sarnia ON N7T 3W3,location.href = '/Facility/Details/386f88b1-d29d-4faf-a183-666da5886a3e' ,DineSafe Lambton,,,,,,,
5,Grand Bend,Sobeys,,2024-02-09,55 Main St E  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/cc1582e1-72bd-45c1-93b3-584419750e90' ,DineSafe Lambton,,,,,,,
6,Sarnia (Central),Sodam Korean Restaurant,,2023-10-13,C-415 Exmouth Street  Sarnia ON N7T 8A4,location.href = '/Facility/Details/8afb0a64-096f-4a1d-aa07-09b6a09527c8' ,DineSafe Lambton,,,,,,,
7,Sombra,Sombra Ball Park Canteen,,2023-06-30,112 Smith Line  Sombra ON N0P 2H0,location.href = '/Facility/Details/b350ac61-fc8a-4fe0-a61a-58184b5040f4' ,DineSafe Lambton,,,,,,,
8,Sombra,Sombra Community Centre,,2023-03-27,152 Smith St  Sombra ON N0P 2H0,location.href = '/Facility/Details/5f5398f6-7047-42d2-8233-8707b9ab0609' ,DineSafe Lambton,,,,,,,
9,Port Lambton,Sombra Township Childcare- Sacred Heart Site,,2024-03-05,434 John Street  Port Lambton ON N0P2B0,location.href = '/Facility/Details/7f203cf2-3be9-4ee0-88b2-493a56642744' ,DineSafe Lambton,,,,,,,
10,Sarnia (South),Sophia's Diner,,2024-01-17,277 Ontario St  Sarnia ON N7T 1L8,location.href = '/Facility/Details/4d3e7201-6370-496b-bd3c-9f4ef52d001f' ,DineSafe Lambton,,,,,,,
11,Sarnia (Central),Soups UP !,,2024-03-18,1143 Confederation St  Sarnia ON N7S 3Y5,location.href = '/Facility/Details/44cc1fa4-e671-4c68-878b-bf7b893c4eca' ,DineSafe Lambton,,,,,,,
12,Sarnia (Central),South East Cafe,,2024-03-07,3-110 East St S  Sarnia ON N7T 3R1,location.href = '/Facility/Details/729bb6a3-f984-43b4-8ae3-bb2ee995367a' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Spice N Ice,,2023-12-13,3-1095 London Rd  Sarnia ON N7S 1P2,location.href = '/Facility/Details/201c68c0-2cfb-4aa0-b91d-5df0fb746e78' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),St Luke's United Church,,2023-11-09,350 Indian Road south  Sarnia ON N7T 3W8,location.href = '/Facility/Details/a31fff30-799d-4fbd-9e92-3ca4b6bfc49a' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),St. Andrews Church,,2023-03-13,261 Christina Street North  Sarnia ON N7T 5T9,location.href = '/Facility/Details/450f5de6-426f-4ef9-9aba-ac97a6958105' ,DineSafe Lambton,,,,,,,
16,Corunna,St. Andrew's Community Food Bank,,2023-07-13,437 Colborne Street  Corunna ON N0N 1G0,location.href = '/Facility/Details/a3e54bbb-c81a-4d96-a900-31f8f555db2b' ,DineSafe Lambton,,,,,,,
17,Petrolia,St. Andrew's Presbyterian Church,,2024-03-13,416 Queen Street  Petrolia ON N0N 1R0,location.href = '/Facility/Details/2276b8fc-aef9-4ea9-80e3-ace2d8b36cb5' ,DineSafe Lambton,,,,,,,
18,Dawn-Euphemia – Rural,St. Andrew's United Church,,2023-06-08,7563 Haggerty Road  Bothwell ON N0P 1C0,location.href = '/Facility/Details/18fa0ebd-dc14-49ab-a3d6-9d748bbc0e16' ,DineSafe Lambton,,,,,,,
19,Sarnia (North) / Bright's Grove,St. Bartholomew's Anglican Church,,2023-09-25,718 Carthcart Blvd  Sarnia ON N7V 2N5,location.href = '/Facility/Details/352ff848-7554-471b-b7fb-5e21cf371e02' ,DineSafe Lambton,,,,,,,
20,Mooretown,St. Clair Parkway Golf Club,,2023-08-22,132 Moore Line  Mooretown ON N0N 1M0,location.href = '/Facility/Details/313cf3a0-bc27-4598-ad8e-af0ab0617200' ,DineSafe Lambton,,,,,,,
21,Courtright,St. Clair Riverview Restaurant,,2024-02-13,1548 St. Clair Parkway  Courtright ON N0N 1H0,location.href = '/Facility/Details/88dc04fc-b297-4f0f-bcf0-d54f23010a71' ,DineSafe Lambton,,,,,,,
22,Sarnia (North) / Bright's Grove,St. John in the Wilderness,,2023-12-14,2896 Old Lakeshore Rd  Brights Grove ON N0N 1C0,location.href = '/Facility/Details/2a9001f4-3590-43f6-9ecb-b1262aad4da8' ,DineSafe Lambton,,,,,,,
23,Sarnia (Central),St. Joseph's Hospice,,2024-02-07,475 Christina St N  Sarnia ON N7T 5W3,location.href = '/Facility/Details/b6c3b528-17f3-43e2-9756-06eb7bcf64e2' ,DineSafe Lambton,,,,,,,
24,Sarnia (Central),St. Patricks High School,,2024-02-06,1001 The Rapids Parkway N  Sarnia ON N7S 6K2,location.href = '/Facility/Details/293fab05-181f-43bc-8798-84a7bd78e8c8' ,DineSafe Lambton,,,,,,,
0,Petrolia,St. Paul's United Church,,2023-11-24,4169 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/b6a3794c-30fa-4cec-86ad-e3aa515e8067' ,DineSafe Lambton,,,,,,,
1,Petrolia,St. Philips Childcare Kitchen,,2024-04-08,420 Queen St  Petrolia ON N0N 1R0,location.href = '/Facility/Details/84b4648f-75a1-465c-8bf6-91d10465bf4b' ,DineSafe Lambton,,,,,,,
2,Sarnia (North) / Bright's Grove,St. Thomas D'Aquin La ribambelle,,2023-09-25,931 Champlain Rd  Sarnia ON N7V 2E9,location.href = '/Facility/Details/04a2a5f5-fa67-4725-bb95-4059bb4c307d' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),St. Vincent de Paul,,2023-11-14,228 Davis Street  Sarnia ON N7T 1B3,location.href = '/Facility/Details/585f0a78-ce95-49f3-8fde-0a447f75105e' ,DineSafe Lambton,,,,,,,
4,Petrolia,Stafford Brothers Meats Ltd.,,2024-03-15,A-4159 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/40af6174-0f5f-4136-9aae-815b16e0fc50' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),Star Variety,,2023-03-14,980 Confederation St  Sarnia ON N7S 1A1,location.href = '/Facility/Details/4acb0059-6752-43d2-9c60-d5e73ccffa8c' ,DineSafe Lambton,,,,,,,
6,Sarnia (North) / Bright's Grove,Starbucks,,2023-07-14,693 Cathcart Blvd  Sarnia ON N7V 2N6,location.href = '/Facility/Details/e974d2d1-bcdb-4707-b12d-0da79f0ae287' ,DineSafe Lambton,,,,,,,
7,Sarnia (Central),Starbucks Coffee Canada,,2023-08-01,1-1273 London Road  Sarnia ON N7S 1P3,location.href = '/Facility/Details/d9e2eee6-b13b-41a9-ad76-eaadb9ca863f' ,DineSafe Lambton,,,,,,,
8,Point Edward,Stevie D's,,2023-12-20,607 St. Clair Street  Point Edward ON N7V 1P2,location.href = '/Facility/Details/b7aae6cc-1ba8-400b-bcae-f45a247f4a88' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),Sticks and Stones Indoor Golf,,2024-01-26,10-49 Finch Drive  Sarnia ON N7S 5C6,location.href = '/Facility/Details/5eea7811-f933-49e6-9c10-347ef65e0d1a' ,DineSafe Lambton,,,,,,,
10,Sarnia (Central),Stokes Inland,,2023-12-20,1202 Lambton Mall Rd  Sarnia ON N7S 5R6,location.href = '/Facility/Details/67ebbfcb-0a04-4b24-8aab-84da5a9d96e0' ,DineSafe Lambton,,,,,,,
11,Plympton-Wyoming – Rural,Stonepicker Brewing Company,,2023-11-14,7143 Forest Rd  Plympton-Wyoming ON N0N 1J4,location.href = '/Facility/Details/d5df445d-39b4-4fbb-8531-00056e4a2940' ,DineSafe Lambton,,,,,,,
12,Forest,Stutt's Fry Truck,,2023-06-13,17 King St E  Forest ON N0N 1J0,location.href = '/Facility/Details/eec2cdb5-6d28-4730-97c5-d734a66f748a' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Subway,,2023-06-12,505 Christina Street North  Sarnia ON N7T 5W3,location.href = '/Facility/Details/6a342b91-bebb-4706-9fdd-d7738e0cd8ca' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Subway,,2023-07-13,889 Exmouth Street  Sarnia ON N7T 5R3,location.href = '/Facility/Details/b6ba03b1-506a-41e3-b142-c7b422c4f756' ,DineSafe Lambton,,,,,,,
15,Corunna,Subway,,2024-03-08,360 Lyndoch Street  Corunna ON N0N 1G0,location.href = '/Facility/Details/a465005f-91b6-4284-9547-bbd9b26fa90e' ,DineSafe Lambton,,,,,,,
16,Forest,Subway,,2024-02-22,91 King Street East  Forest ON N0M 1J0,location.href = '/Facility/Details/bcb22662-f823-426d-ab24-c38f4e40ac23' ,DineSafe Lambton,,,,,,,
17,Petrolia,Subway,,2023-12-12,4111 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/91772628-9bd6-4e1a-b3fe-e95d588a4e2e' ,DineSafe Lambton,,,,,,,
18,Grand Bend,Subway,,2023-11-10,32 Ontario Street North  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/39a5859e-6b35-4a5e-bb81-de7de22ff036' ,DineSafe Lambton,,,,,,,
19,Sarnia (North) / Bright's Grove,Subway,,2023-05-11,2670 Lakeshore Road  Bright's Grove ON N7S 1G0,location.href = '/Facility/Details/1c59fe04-d411-4e71-8509-043c5db79ecb' ,DineSafe Lambton,,,,,,,
20,Sarnia (Central),Subway,,2024-03-06,680 Cathcart Boulevard  Sarnia ON N7V 2N5,location.href = '/Facility/Details/a49f5b9a-0380-477f-96c4-0ebd081e9fa6' ,DineSafe Lambton,,,,,,,
21,Sarnia (Central),Subway,,2024-03-11,1273 London Road  Sarnia ON N7S 1P3,location.href = '/Facility/Details/12a4a264-b309-46d7-955b-0f403267845b' ,DineSafe Lambton,,,,,,,
22,Sarnia (North) / Bright's Grove,Subway,,2024-04-09,1654 London Line  Sarnia ON N7T 7H2,location.href = '/Facility/Details/fe976426-4fe2-47c6-8750-3ed620e58c8e' ,DineSafe Lambton,,,,,,,
23,Wyoming,Subway,,2024-01-25,5906 Oil Heritage Road  Wyoming ON N0N 1T0,location.href = '/Facility/Details/d5d105ef-c62d-470c-a1a5-497324bd29f4' ,DineSafe Lambton,,,,,,,
24,Sarnia (South),Subway,,2024-01-26,535 Vidal Street  Sarnia ON N7Y 2V7,location.href = '/Facility/Details/e2d0f180-656f-446c-a407-64e76641d72a' ,DineSafe Lambton,,,,,,,
0,Sarnia (Central),Subway Sub - Confederation Road,,2023-11-24,1070 Confederation Street  Sarnia ON N7T 5S5,location.href = '/Facility/Details/28467da0-3c01-4ce7-899b-51e5b263e1ed' ,DineSafe Lambton,,,,,,,
1,Sarnia (Central),Sumac Lodge,,2024-03-20,1464 Blackwell Rd  Sarnia ON N7S 5M2,location.href = '/Facility/Details/1e3fd849-c5aa-4007-ba13-7864e5938204' ,DineSafe Lambton,,,,,,,
2,Lambton Shores – Rural,Sun Retreats Ipperwash-Kitchen Hall,,,9537 Army Camp Road  Lambton Shores ON N0N 1J3,location.href = '/Facility/Details/c5806116-3516-4e7f-b059-1988d1d895ff' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),Sunripe Farms,,2024-04-12,1130 Lakeshore Road  Sarnia ON N7V 2V3,location.href = '/Facility/Details/5142aa89-b6e2-45bb-a158-8cbfea638637' ,DineSafe Lambton,,,,,,,
4,Sarnia (Central),Sunset Grill,,2024-03-15,1440 Quinn Drive  Sarnia ON N7S 6M8,location.href = '/Facility/Details/afb15ccb-eaa0-47ba-8d85-977b5de1e2d6' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),Super 8,,2023-11-28,420 Christina Street  Sarnia ON N7T 5W1,location.href = '/Facility/Details/3fe79ea5-7e61-4237-b050-3b08a6a6fa53' ,DineSafe Lambton,,,,,,,
6,Brigden,Super Choice Gas Bar,,2023-11-02,2403 Courtright Line  Brigden ON N0N 1B0,location.href = '/Facility/Details/32f5c66c-34f0-449c-8dc5-fc9ee43df136' ,DineSafe Lambton,,,,,,,
7,Wyoming,Super Dough Balls,,2023-11-23,4540 London Line  Wyoming ON N0N 1T0,location.href = '/Facility/Details/13853606-76fa-45cc-8c74-4c2a21bfc5f3' ,DineSafe Lambton,,,,,,,
8,Point Edward,Suzy's Ice Cream Porium,,2023-06-06,99 Michigan Ave  Point Edward ON N7V 1E5,location.href = '/Facility/Details/67c29dca-118c-4f3b-a490-7a32f93b276a' ,DineSafe Lambton,,,,,,,
9,Lambton Shores – Rural,Sweet Bites Ice Cream and Restaurant,,2023-07-12,9602 West Ippewash Road  Lambton Shores ON N0N 1J2,location.href = '/Facility/Details/eb8b2a1d-fa26-454e-885f-0d50f05921a5' ,DineSafe Lambton,,,,,,,
10,Sarnia (Central),Sweet Life Candy & Pop Shop,,2023-11-17,460 Christina Street North  Sarnia ON N7T 5W4,location.href = '/Facility/Details/d5e4bfce-3c6d-4a6a-93b9-f7bc442bef62' ,DineSafe Lambton,,,,,,,
11,Corunna,Sweets & Treats,,2023-10-04,344 Beechwood Dr  Corunna ON N0N 1G0,location.href = '/Facility/Details/15f0836f-bffa-439b-be7c-be74f41ff899' ,DineSafe Lambton,,,,,,,
12,Sarnia (Central),Swiss Chalet,,2023-06-28,1283 London Rd  Sarnia ON N7S 1P3,location.href = '/Facility/Details/29abff05-d6d5-4ef2-a485-81bc08d7d465' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Taco Bell,,2024-02-29,1337 London Rd  Sarnia ON N7S 1P6,location.href = '/Facility/Details/6340c3ec-0b5d-419a-bbbd-9a0df241645e' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Taco Bell,,2024-03-12,260 Indian Road South  Sarnia ON N7T 3W4,location.href = '/Facility/Details/801ae792-5334-4fca-ade1-fcda76c9faae' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),Tandoori Chaska,,2024-02-08,1407 London Road  Sarnia ON N7S 6K4,location.href = '/Facility/Details/cd1de91b-f34f-4660-a741-d174bae8e195' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Tang's China House,,2023-12-05,165 Cromwell Street  Sarnia ON N7T 3X4,location.href = '/Facility/Details/cb9c1d76-edec-4979-8ff1-16ecb703d734' ,DineSafe Lambton,,,,,,,
17,Plympton-Wyoming – Rural,Tasty Tater,,2023-07-31,4297 Lakeshore Road  Plympton-Wyoming ON N0N 1J6,location.href = '/Facility/Details/e106a81a-4b9f-44ab-bacd-b02bf9df6a29' ,DineSafe Lambton,,,,,,,
18,Sarnia (Central),Thai Express,,2023-11-23,1380 London Road  Sarnia ON N7S 1P8,location.href = '/Facility/Details/68d12ff1-bc26-4e5c-bb93-f2f749f60aca' ,DineSafe Lambton,,,,,,,
19,Sarnia (Central),The Bagel Factory,,2024-02-29,1152 London Rd  Sarnia ON N7S 1P4,location.href = '/Facility/Details/01ee5a7b-b271-4042-a318-0f846aa5efe7' ,DineSafe Lambton,,,,,,,
20,Forest,The Barking Forest,,2024-01-16,58 King Street East  Forest ON N0N 1J0,location.href = '/Facility/Details/128d28fd-ade4-4c00-896e-183d8ec9460e' ,DineSafe Lambton,,,,,,,
21,Point Edward,The Cheese Wedge,,2024-03-22,601 Michigan Avenue  Point Edward ON N7V 1G6,location.href = '/Facility/Details/39bdc1ac-d0bf-4803-866e-b793b9357b55' ,DineSafe Lambton,,,,,,,
22,Sarnia (Central),The Coffee Lodge,,2023-08-11,400 Exmouth Street  Sarnia ON N7T 5N6,location.href = '/Facility/Details/9cf20aba-bbbd-4e5c-a365-f64e94f51777' ,DineSafe Lambton,,,,,,,
23,Petrolia,The Cottage,,2024-04-11,4190 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/20734294-840f-442d-b417-049896e13be1' ,DineSafe Lambton,,,,,,,
24,Sarnia (Central),The Crown Cafe Bar & Grill Plus,,2024-03-06,785 Exmouth St  Sarnia ON N7T 5P7,location.href = '/Facility/Details/d7dc63ac-f24e-4206-b320-997b2d543b64' ,DineSafe Lambton,,,,,,,
0,Port Franks,The Dunes Refillery,,2024-02-29,8575 Lakeshore Rd  Thedford ON N0M 2L0,location.href = '/Facility/Details/1aa5fdce-77dd-4b3c-9c68-f198db1cd47f' ,DineSafe Lambton,,,,,,,
1,Grand Bend,The Dunes Refillery,,2024-01-29,5-23 Main Street West  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/1433fe4f-9f4d-4b94-b1ba-c753345c17f0' ,DineSafe Lambton,,,,,,,
2,Sarnia (Central),The Dutch Market Ltd.,,2023-08-21,580 Murphy Rd  Sarnia ON N7S 5V4,location.href = '/Facility/Details/2e789d44-e832-4535-aba0-0a061bf88ee5' ,DineSafe Lambton,,,,,,,
3,Sarnia (South),The Good Shepherd's Lodge,,2024-03-22,950 Confederation Street  Sarnia ON N7S 1A1,location.href = '/Facility/Details/74ebc5c7-252a-4a6b-82e5-5dbd0806bc53' ,DineSafe Lambton,,,,,,,
4,Grand Bend,The Grapevine of Grand Bend,,2023-12-19,30 Ontario St S  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/5c471a3d-bf29-4861-a277-8859e93b4470' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),The HUB/R-Lounge,,2023-12-20,350 Indian Rd  Sarnia ON N7S 1H8,location.href = '/Facility/Details/c669f3b3-1fb4-4459-a8a8-476d7632d686' ,DineSafe Lambton,,,,,,,
6,Brigden,The Hungry Hillbilly,,2024-03-19,2344 Courtright Line  Brigden ON N0N 1B0,location.href = '/Facility/Details/a8c7fe85-cd37-422c-8c4a-27a4eb4ad78b' ,DineSafe Lambton,,,,,,,
7,Sarnia (Central),The Ice Creamery,,2023-09-07,158 Nelson St  Sarnia ON N7T 5H3,location.href = '/Facility/Details/c8ec0a78-2ab2-41c1-8950-3679c7ad232c' ,DineSafe Lambton,,,,,,,
8,Grand Bend,The Kiwi Motel-Restaurant,,2023-12-18,40 Main Street East  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/835f235f-5f71-48c7-9a76-2226e6448bc9' ,DineSafe Lambton,,,,,,,
9,Grand Bend,The Lake Hound,,2023-12-08,135 Ontario Street South  Grand Bend Ontario N0N 1T0,location.href = '/Facility/Details/82278b6d-f037-4a13-b5aa-683e55ed6712' ,DineSafe Lambton,,,,,,,
10,Thedford,The Legacy Recreation Centre,,2023-12-15,16 Allen St  Thedford ON N0M 2N0,location.href = '/Facility/Details/23dc0639-a556-4b55-acb7-1861d284cc07' ,DineSafe Lambton,,,,,,,
11,Thedford,The Legacy Recreation Centre - Snack Bar,,2023-12-15,16 Allen St  Thedford ON N0M 2N0,location.href = '/Facility/Details/93ffedf3-b2de-44e3-8755-01fe8da20dd6' ,DineSafe Lambton,,,,,,,
12,Sarnia (North) / Bright's Grove,The Lifelong Learning Program- Pathways Health Centre for Children- Kitchen,,2024-01-16,1240 Murphy road  Sarnia ON N7S 2Y6,location.href = '/Facility/Details/2ee39a00-5eb7-425f-9c59-44d987ecc8ca' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),The Lion's Den,,2024-03-22,1457 London Rd  Sarnia ON N7S 6K4,location.href = '/Facility/Details/eae99033-8079-4302-b1f8-c1b614967199' ,DineSafe Lambton,,,,,,,
14,Sarnia (North) / Bright's Grove,The Nineteenth Bar and Grill,,2024-02-27,2587 Lakeshore Road  Bright's Grove ON N0N 1C0,location.href = '/Facility/Details/332a6945-bd3b-4c85-8418-5c8562922123' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),The Nut Bar,,2023-11-17,487 East Street N  Sarnia ON N7T 6Y7,location.href = '/Facility/Details/51dfa09e-b6f6-4b3c-b101-1b921ef9d5bb' ,DineSafe Lambton,,,,,,,
16,Lambton Shores – Rural,The Oakridge Resort - Store,,2023-08-09,9910 Northville Crescent  Thedford ON N0M 2N0,location.href = '/Facility/Details/3d09e74d-63a0-4e37-b54d-6ffc13734874' ,DineSafe Lambton,,,,,,,
17,Florence,The Old Mill Store,,2024-03-07,521 Florence Road  Florence ON N0P 1R0,location.href = '/Facility/Details/6eba3f3d-540f-47a5-aeda-a7e6a7018527' ,DineSafe Lambton,,,,,,,
18,Petrolia,The Olde Post Office Gift Shoppe,,2023-08-04,4189 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/de6486cf-870e-44f8-8d50-f65ebfa20d41' ,DineSafe Lambton,,,,,,,
19,Sarnia (Central),The Overflow Cafe,,2024-04-03,6-850 Colborne Road  Sarnia ON N7V 2N6,location.href = '/Facility/Details/58153bac-ebaa-40b5-8ad9-a0f76f354885' ,DineSafe Lambton,,,,,,,
20,Sarnia (Central),The Real Canadian Superstore,,2023-06-30,600 Murphy Rd  Sarnia ON N7S 2X1,location.href = '/Facility/Details/93700225-3535-4515-acd1-d44ebc126b68' ,DineSafe Lambton,,,,,,,
21,Camlachie,The Sugar Mama,,,3531 Mia Lane  Camlachie ON N0N 1E0,location.href = '/Facility/Details/4a7345c8-7214-47b1-9ad2-cd447e80a6d9' ,DineSafe Lambton,,,,,,,
22,Sarnia (Central),The Tin Fiddler,,2023-11-08,146 Christina Street N  Sarnia ON N7T 5T9,location.href = '/Facility/Details/108bf981-2f27-4ed7-903d-3c8c852863a1' ,DineSafe Lambton,,,,,,,
23,Sarnia (Central),The Water Bug,,2023-06-20,850 Colborne Rd  Sarnia ON N7T 6V8,location.href = '/Facility/Details/7c25b567-299f-463e-8214-557b4408c060' ,DineSafe Lambton,,,,,,,
24,Thedford,Thedford Village Complex,,2023-12-15,109 Pearl St  Thedford ON N0M 2N0,location.href = '/Facility/Details/55a17f27-79bf-470d-b385-d9718c6ea976' ,DineSafe Lambton,,,,,,,
0,Corunna,Thompson Gardens,,2023-12-21,198 Beckwith St  Corunna ON N0N 1G0,location.href = '/Facility/Details/0abfc39a-7a37-453f-9270-52dc00ecd421' ,DineSafe Lambton,,,,,,,
1,Alvinston,Three Maples Variety,,2023-10-16,3248 Nauvoo Road  Alvinston ON N0N 1A0,location.href = '/Facility/Details/a8827abe-d970-4b55-ba0d-727de1055789' ,DineSafe Lambton,,,,,,,
2,Sarnia (Central),Tim Hortons,,2023-11-02,775 Exmouth St  Sarnia ON N7T 5P7,location.href = '/Facility/Details/05185c5a-2325-4778-b412-7d95febd48b2' ,DineSafe Lambton,,,,,,,
3,Forest,Tim Hortons,,2024-02-20,80 King Street E  Forest ON N0N 1J0,location.href = '/Facility/Details/ee5205df-10ae-41ad-a77f-76e9c64a1a2c' ,DineSafe Lambton,,,,,,,
4,Sarnia (Central),Tim Hortons,,2023-11-17,1399 Colborne Road  Sarnia ON N7V 3L8,location.href = '/Facility/Details/713f20f0-87db-44b8-adc1-59e86e786bb7' ,DineSafe Lambton,,,,,,,
5,Petrolia,Tim Hortons,,2024-03-27,4160 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/8c97b740-d08d-499d-9f37-603a25945988' ,DineSafe Lambton,,,,,,,
6,Sarnia (North) / Bright's Grove,Tim Hortons,,2023-08-11,2688 Lakeshore Road  Bright's Grove ON N0N 1C0,location.href = '/Facility/Details/21a9720f-93c3-4501-ab6c-a00164e70bcd' ,DineSafe Lambton,,,,,,,
7,Watford,Tim Hortons,,2024-02-21,7874 Confederation Line  Watford ON N0M 2S0,location.href = '/Facility/Details/a6237c07-5b6f-4df9-ae8b-8bf83b02f66a' ,DineSafe Lambton,,,,,,,
8,Sarnia (Central),Tim Hortons,,2023-11-02,183 Exmouth St  Sarnia ON N7T 5M4,location.href = '/Facility/Details/a38a6bdc-0b15-40db-bf8e-879102dfa69c' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),Tim Hortons,,2024-03-14,1208 Murphy Road  Sarnia ON N7S 2Y2,location.href = '/Facility/Details/9bc78821-00f8-40d5-bd0e-8268c9a02f6e' ,DineSafe Lambton,,,,,,,
10,Sarnia (Central),Tim Hortons,,2024-02-05,1105 Lambton Mall Rd  Sarnia ON N7S 3X9,location.href = '/Facility/Details/f1206a9a-c4d6-4e50-bbf4-41a9a705b329' ,DineSafe Lambton,,,,,,,
11,Sarnia (Central),Tim Hortons,,2024-01-08,137 Indian Road S  Sarnia ON N7T 3W3,location.href = '/Facility/Details/baf26d7e-8a00-4398-bd96-3a53114b3293' ,DineSafe Lambton,,,,,,,
12,Corunna,Tim Hortons,,2024-02-22,373 Lyndoch St  Corunna ON N0N 1G0,location.href = '/Facility/Details/5e0ecedf-eb55-4b40-b8fc-33cf103cf70f' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Tim Hortons,,2023-12-07,1258 London Rd  Sarnia ON N7S 1P5,location.href = '/Facility/Details/1301b838-939e-47c4-adf2-023aaa0473e0' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Tim Hortons,,2023-12-12,512 Vidal Street S  Sarnia ON N7T 8E8,location.href = '/Facility/Details/4d8d433a-9704-492a-b5c0-123642eb3512' ,DineSafe Lambton,,,,,,,
15,Sarnia (North) / Bright's Grove,Tim Hortons,,2024-01-18,1707 London Line  Sarnia ON N7W 1A4,location.href = '/Facility/Details/588a142a-fc99-4baa-b2da-d98289564e2b' ,DineSafe Lambton,,,,,,,
16,Wyoming,Tim Hortons,,2024-03-19,4504 London Line  Wyoming ON N0N 1T0,location.href = '/Facility/Details/d6ce139c-2b43-4607-adf1-b6be12dcc915' ,DineSafe Lambton,,,,,,,
17,Grand Bend,Tim Hortons,,2023-11-10,39 Ontario St N  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/ace51039-e87e-4542-b33a-f9262d54c641' ,DineSafe Lambton,,,,,,,
18,Sarnia (Central),Tim Hortons,,2024-03-26,1441 Confederation St  Sarnia ON N7S 5N9,location.href = '/Facility/Details/17a719e3-2385-48f0-880e-f4232e59ce9c' ,DineSafe Lambton,,,,,,,
19,Grand Bend,Tipsy Pelican,,2023-03-30,83 Main Street  Grand Bend ON N0N 1G0,location.href = '/Facility/Details/0c257bf0-304d-4171-b54e-857dc7671692' ,DineSafe Lambton,,,,,,,
20,Alvinston,Today's Dollar Store,,2023-10-16,8066 Centre St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/c0e183ca-48e7-4e0b-9718-b8215b5591a6' ,DineSafe Lambton,,,,,,,
21,Grand Bend,Torched Brewery,,2023-12-19,36 Ontario St North  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/5ff3acab-2e30-4d2b-b133-22422a2b81ab' ,DineSafe Lambton,,,,,,,
22,Alvinston,Tracey's Bake Sale,,2023-11-27,3229 River Street  Alvinston ON N0N 1A0,location.href = '/Facility/Details/fde0f0fa-7c0b-4fe9-9f94-b554d4339432' ,DineSafe Lambton,,,,,,,
23,Sarnia (Central),Treats by Rae,,2023-12-19,1671 Modeland Rd  Sarnia ON N7t 7H4,location.href = '/Facility/Details/de6d1fbe-7e58-4b18-a734-9df9819c2247' ,DineSafe Lambton,,,,,,,
24,Sarnia (Central),Trillium Villa,,2024-02-29,1221 Michigan Ave  Sarnia ON N7S 3Y3,location.href = '/Facility/Details/48e4757c-391b-4a53-9aaa-68e6ecdb9117' ,DineSafe Lambton,,,,,,,
0,Sarnia (Central),Triple Play,,2024-01-23,348 Ontario St  Sarnia Ontario N7T 1L9,location.href = '/Facility/Details/5ebfa9b0-b900-4861-81e3-1e58e7f4b44b' ,DineSafe Lambton,,,,,,,
